Magnetic Field.X,Magnetic Field.Y,Magnetic Field.Z,,Magnetometer X,Magnetometer Y,Magnetometer Z,,,,
3.68E+04,5341,2.42E+04,,3.68E-05,5.39E-06,2.42E-05,,1.10E+01,-2.70E+01,0.00E+00
7551,1133,4.35E+04,,7.54E-06,1.16E-06,4.35E-05,,0.00E+00,0.00E+00,0.00E+00
-2.64E+04,1260,3.50E+04,,-2.64E-05,1.26E-06,3.50E-05,,0.00E+00,1.50E+01,1.60E+01
-4.17E+04,9875,8446,,-4.17E-05,9.86E-06,8.43E-06,,0.00E+00,0.00E+00,3.00E+01
-3.13E+04,2.91E+04,-7740,,-3.13E-05,2.91E-05,-7.77E-06,,8.00E+00,0.00E+00,1.20E+01
-7682,4.19E+04,6672,,-7.69E-06,4.19E-05,6.66E-06,,1.00E+02,0.00E+00,0.00E+00
1.46E+04,2.45E+04,3.20E+04,,1.45E-05,2.45E-05,3.20E-05,,1.00E+02,0.00E+00,0.00E+00
2.75E+04,-1.23E+04,3.02E+04,,2.74E-05,-1.23E-05,3.02E-05,,0.00E+00,0.00E+00,-2.50E+01
2.25E+04,-3.58E+04,2585,,2.25E-05,-3.58E-05,2.61E-06,,2.53E+01,0.00E+00,0.00E+00
-728.7,-3.80E+04,-1.82E+04,,-7.54E-07,-3.80E-05,-1.82E-05,,1.00E+02,0.00E+00,0.00E+00
-2.60E+04,-3.04E+04,-1.23E+04,,-2.61E-05,-3.04E-05,-1.23E-05,,1.00E+02,0.00E+00,0.00E+00
-3.33E+04,-2.09E+04,1.35E+04,,-3.34E-05,-2.09E-05,1.35E-05,,0.00E+00,2.10E+01,0.00E+00
-1.63E+04,-9669,3.67E+04,,-1.63E-05,-9.69E-06,3.67E-05,,0.00E+00,1.70E+01,0.00E+00
1.27E+04,1507,3.90E+04,,1.27E-05,1.49E-06,3.90E-05,,0.00E+00,1.60E+01,-1.00E+02
3.40E+04,3066,2.23E+04,,3.40E-05,3.05E-06,2.24E-05,,1.00E+02,1.70E+01,0.00E+00
3.78E+04,-9973,1.08E+04,,3.77E-05,-9.99E-06,1.08E-05,,0.00E+00,1.00E+02,-1.00E+02
2.68E+04,-2.02E+04,2.21E+04,,2.68E-05,-2.03E-05,2.22E-05,,5.20E+01,3.00E+00,0.00E+00
6132,-9107,3.84E+04,,6.08E-06,-9.11E-06,3.84E-05,,0.00E+00,0.00E+00,0.00E+00
-1.54E+04,1.34E+04,3.41E+04,,-1.54E-05,1.34E-05,3.41E-05,,0.00E+00,0.00E+00,0.00E+00
-2.36E+04,2.96E+04,1.12E+04,,-2.36E-05,2.96E-05,1.12E-05,,0.00E+00,0.00E+00,2.60E+01
-1.26E+04,3.58E+04,-9544,,-1.26E-05,3.58E-05,-9.57E-06,,-6.00E+00,0.00E+00,0.00E+00
7934,3.63E+04,-1.14E+04,,7.94E-06,3.63E-05,-1.14E-05,,0.00E+00,0.00E+00,9.00E+00
2.10E+04,3.17E+04,6549,,2.10E-05,3.17E-05,6.54E-06,,0.00E+00,0.00E+00,1.00E+02
1.65E+04,1.84E+04,2.94E+04,,1.65E-05,1.84E-05,2.93E-05,,1.40E+01,2.90E+01,0.00E+00
-1416,-2051,3.80E+04,,-1.43E-06,-2.08E-06,3.80E-05,,0.00E+00,1.00E+02,0.00E+00
-1.98E+04,-1.60E+04,2.80E+04,,-1.98E-05,-1.61E-05,2.80E-05,,1.00E+02,0.00E+00,0.00E+00
-2.99E+04,-1.41E+04,1.77E+04,,-3.00E-05,-1.41E-05,1.77E-05,,1.00E+02,2.40E+01,0.00E+00
-2.87E+04,-7946,2.23E+04,,-2.88E-05,-7.97E-06,2.23E-05,,0.00E+00,1.00E+02,0.00E+00
-1.53E+04,-1.01E+04,3.21E+04,,-1.53E-05,-1.02E-05,3.21E-05,,1.00E+01,1.00E+02,-1.00E+02
3910,-1.82E+04,3.16E+04,,3.90E-06,-1.83E-05,3.17E-05,,0.00E+00,0.00E+00,0.00E+00
1.72E+04,-2.59E+04,1.90E+04,,1.72E-05,-2.59E-05,1.90E-05,,0.00E+00,0.00E+00,-1.40E+01
1.72E+04,-3.15E+04,4546,,1.72E-05,-3.15E-05,4.56E-06,,-1.40E+01,0.00E+00,6.40E+00
6976,-3.53E+04,656.4,,6.99E-06,-3.53E-05,6.50E-07,,0.00E+00,1.00E+02,0.00E+00
-3210,-3.35E+04,1.18E+04,,-3.21E-06,-3.36E-05,1.18E-05,,-1.50E+01,0.00E+00,0.00E+00
-5285,-1.99E+04,2.89E+04,,-5.27E-06,-1.99E-05,2.89E-05,,1.45E+01,1.20E+01,-1.00E+02
-54.7,4102,3.49E+04,,-6.92E-08,4.09E-06,3.50E-05,,-3.00E+00,0.00E+00,0.00E+00
7477,2.32E+04,2.50E+04,,7.48E-06,2.32E-05,2.50E-05,,0.00E+00,0.00E+00,1.00E+02
1.48E+04,2.83E+04,1.36E+04,,1.48E-05,2.83E-05,1.35E-05,,0.00E+00,0.00E+00,0.00E+00
1.86E+04,2.62E+04,1.24E+04,,1.86E-05,2.62E-05,1.24E-05,,0.00E+00,1.00E+02,0.00E+00
1.51E+04,2.46E+04,1.84E+04,,1.51E-05,2.45E-05,1.84E-05,,2.00E+01,0.00E+00,1.00E+02
4750,2.45E+04,2.31E+04,,4.73E-06,2.45E-05,2.30E-05,,2.20E+01,0.00E+00,0.00E+00
-6878,2.46E+04,2.20E+04,,-6.90E-06,2.46E-05,2.20E-05,,0.00E+00,0.00E+00,0.00E+00
-1.40E+04,2.48E+04,1.76E+04,,-1.40E-05,2.48E-05,1.76E-05,,0.00E+00,0.00E+00,0.00E+00
-1.50E+04,2.51E+04,1.60E+04,,-1.50E-05,2.51E-05,1.60E-05,,0.00E+00,0.00E+00,0.00E+00
-1.22E+04,2.20E+04,2.16E+04,,-1.22E-05,2.20E-05,2.16E-05,,1.90E+01,0.00E+00,0.00E+00
-8371,1.04E+04,3.00E+04,,-8.39E-06,1.04E-05,3.00E-05,,-4.00E+00,-7.00E+00,0.00E+00
-4274,-7437,3.15E+04,,-4.27E-06,-7.43E-06,3.15E-05,,0.00E+00,0.00E+00,0.00E+00
-1150,-2.22E+04,2.37E+04,,-1.15E-06,-2.22E-05,2.37E-05,,-3.60E+00,0.00E+00,0.00E+00
-994.6,-2.92E+04,1.37E+04,,-9.91E-07,-2.92E-05,1.37E-05,,-6.00E+00,0.00E+00,2.50E+01
-3376,-3.09E+04,8095,,-3.37E-06,-3.09E-05,8.07E-06,,-8.00E+00,0.00E+00,3.80E+01
-5588,-3.02E+04,8758,,-5.58E-06,-3.02E-05,8.72E-06,,-3.40E+01,0.00E+00,1.00E+02
-4914,-2.80E+04,1.42E+04,,-4.88E-06,-2.80E-05,1.41E-05,,-3.59E+01,0.00E+00,1.00E+02
-320.9,-2.34E+04,2.12E+04,,-2.85E-07,-2.34E-05,2.11E-05,,-1.50E+01,0.00E+00,0.00E+00
6965,-1.57E+04,2.63E+04,,6.98E-06,-1.57E-05,2.63E-05,,0.00E+00,3.00E+00,0.00E+00
1.40E+04,-5807,2.73E+04,,1.40E-05,-5.81E-06,2.73E-05,,0.00E+00,-1.30E+01,1.00E+02
1.80E+04,3007,2.52E+04,,1.80E-05,3.02E-06,2.51E-05,,0.00E+00,3.00E+00,0.00E+00
1.77E+04,9273,2.36E+04,,1.77E-05,9.27E-06,2.36E-05,,0.00E+00,0.00E+00,0.00E+00
1.29E+04,1.47E+04,2.38E+04,,1.29E-05,1.47E-05,2.38E-05,,2.00E+00,0.00E+00,0.00E+00
4472,2.01E+04,2.28E+04,,4.47E-06,2.01E-05,2.28E-05,,-1.10E+01,0.00E+00,0.00E+00
-4271,2.44E+04,1.79E+04,,-4.26E-06,2.44E-05,1.79E-05,,1.00E+00,0.00E+00,0.00E+00
-8979,2.72E+04,1.04E+04,,-8.98E-06,2.72E-05,1.04E-05,,-5.00E+00,0.00E+00,1.00E+01
-7465,2.90E+04,5020,,-7.46E-06,2.90E-05,5.01E-06,,-3.00E+00,0.00E+00,1.70E+01
-1933,2.93E+04,7207,,-1.93E-06,2.93E-05,7.19E-06,,1.00E+01,0.00E+00,0.00E+00
2350,2.42E+04,1.77E+04,,2.34E-06,2.42E-05,1.77E-05,,2.00E+00,-1.70E+01,0.00E+00
1832,9243,2.85E+04,,1.83E-06,9.26E-06,2.85E-05,,-8.00E+00,0.00E+00,0.00E+00
-2478,-1.10E+04,2.77E+04,,-2.47E-06,-1.10E-05,2.77E-05,,5.00E+00,0.00E+00,0.00E+00
-8765,-2.32E+04,1.66E+04,,-8.77E-06,-2.32E-05,1.66E-05,,1.00E+02,0.00E+00,2.00E+00
-1.55E+04,-2.37E+04,9252,,-1.56E-05,-2.37E-05,9.25E-06,,1.00E+02,-1.00E+02,0.00E+00
-1.80E+04,-2.00E+04,1.27E+04,,-1.81E-05,-1.99E-05,1.27E-05,,0.00E+00,0.00E+00,0.00E+00
-1.16E+04,-1.75E+04,2.10E+04,,-1.16E-05,-1.75E-05,2.10E-05,,-8.00E+00,0.00E+00,0.00E+00
2232,-1.66E+04,2.45E+04,,2.24E-06,-1.66E-05,2.45E-05,,0.00E+00,0.00E+00,-1.00E+02
1.55E+04,-1.68E+04,1.88E+04,,1.55E-05,-1.68E-05,1.89E-05,,0.00E+00,0.00E+00,-1.70E+01
2.00E+04,-1.97E+04,9193,,2.00E-05,-1.97E-05,9.21E-06,,-1.00E+02,0.00E+00,-3.00E+01
1.45E+04,-2.48E+04,6890,,1.46E-05,-2.48E-05,6.92E-06,,-2.20E+01,0.00E+00,0.00E+00
4548,-2.34E+04,1.75E+04,,4.57E-06,-2.34E-05,1.75E-05,,3.00E+00,-5.00E+00,0.00E+00
-4627,-6625,2.84E+04,,-4.63E-06,-6.62E-06,2.84E-05,,-1.10E+01,-1.00E+02,-1.00E+02
-9931,1.61E+04,2.26E+04,,-9.92E-06,1.62E-05,2.27E-05,,-1.20E+01,0.00E+00,-6.40E+01
-6562,2.83E+04,4826,,-6.55E-06,2.83E-05,4.89E-06,,-1.30E+01,-1.00E+02,-8.00E+00
5897,2.81E+04,-6558,,5.91E-06,2.82E-05,-6.55E-06,,0.00E+00,0.00E+00,-7.00E+00
1.85E+04,2.29E+04,-1827,,1.85E-05,2.29E-05,-1.82E-06,,0.00E+00,0.00E+00,0.00E+00
1.98E+04,1.68E+04,1.40E+04,,1.98E-05,1.68E-05,1.40E-05,,5.00E+00,0.00E+00,-1.00E+02
6755,9390,2.71E+04,,6.75E-06,9.39E-06,2.72E-05,,0.00E+00,-4.00E+00,0.00E+00
-1.26E+04,2216,2.66E+04,,-1.26E-05,2.22E-06,2.66E-05,,0.00E+00,1.70E+01,0.00E+00
-2.56E+04,2017,1.46E+04,,-2.56E-05,2.00E-06,1.46E-05,,0.00E+00,0.00E+00,-2.60E+01
-2.60E+04,1.17E+04,7804,,-2.60E-05,1.17E-05,7.83E-06,,0.00E+00,1.00E+02,0.00E+00
-1.57E+04,1.81E+04,1.74E+04,,-1.57E-05,1.80E-05,1.74E-05,,-2.00E+00,3.60E+01,0.00E+00
1328,8066,2.85E+04,,1.33E-06,8.03E-06,2.85E-05,,0.00E+00,1.40E+01,0.00E+00
1.72E+04,-9676,2.22E+04,,1.72E-05,-9.69E-06,2.22E-05,,0.00E+00,0.00E+00,2.70E+01
2.04E+04,-2.16E+04,2027,,2.04E-05,-2.16E-05,2.00E-06,,-1.10E+01,0.00E+00,1.00E+02
7199,-2.53E+04,-1.41E+04,,7.21E-06,-2.53E-05,-1.42E-05,,0.00E+00,0.00E+00,0.00E+00
-1.27E+04,-2.40E+04,-1.25E+04,,-1.27E-05,-2.40E-05,-1.25E-05,,0.00E+00,0.00E+00,1.90E+01
-2.35E+04,-1.77E+04,5739,,-2.35E-05,-1.77E-05,5.72E-06,,0.00E+00,1.90E+01,0.00E+00
-1.66E+04,-3491,2.48E+04,,-1.66E-05,-3.51E-06,2.48E-05,,-2.10E+01,0.00E+00,-1.00E+02
2359,1.44E+04,2.63E+04,,2.38E-06,1.44E-05,2.64E-05,,0.00E+00,0.00E+00,-1.00E+02
2.03E+04,1.99E+04,1.01E+04,,2.03E-05,1.99E-05,1.02E-05,,0.00E+00,2.00E+00,1.40E+00
2.96E+04,6302,643.4,,2.96E-05,6.30E-06,6.42E-07,,0.00E+00,2.00E+01,0.00E+00
2.66E+04,-7790,1.23E+04,,2.66E-05,-7.81E-06,1.23E-05,,-1.20E+01,-1.50E+01,0.00E+00
9188,-7525,2.80E+04,,9.20E-06,-7.51E-06,2.80E-05,,0.00E+00,-1.80E+01,0.00E+00
-1.44E+04,1512,2.69E+04,,-1.44E-05,1.53E-06,2.69E-05,,0.00E+00,0.00E+00,-3.00E+00
-2.78E+04,1.05E+04,7567,,-2.78E-05,1.05E-05,7.57E-06,,-1.00E+02,-1.00E+02,0.00E+00
-2.08E+04,1.77E+04,-1.41E+04,,-2.07E-05,1.78E-05,-1.41E-05,,-9.00E+00,0.00E+00,0.00E+00
1091,2.38E+04,-1.96E+04,,1.10E-06,2.38E-05,-1.96E-05,,-1.00E+02,0.00E+00,-6.00E+00
